ticker,name,quantity,purchase_price_eur,purchase_total_eur,market_price_eur,market_total_eur,change_eur,change_pct
ABBV,ABBVIE INC,10.0,66.7,666.99,186.8229,1868.229,1201.239,180.09850222642018
GOOG,ALPHABET INC -CL C,10.0,56.26,562.64,241.4808,2414.808,1852.1680000000001,329.1923787857245
AMZN,AMAZON COM INC - ORD SHS,101.0,96.09,9704.83,209.2563,21134.886300000002,11430.056300000002,117.77698630475754
AZN,ASTRAZENECA PLC,83.0,103.72,8608.72,140.8176,11687.8608,3079.140800000001,35.767696010556755
BBA.L,BAE SYSTEMS,100.0,15.59,1559.0,21.1761,2117.61,558.6100000000001,35.83130211674151
SAN,BANCO SANTANDER SA,300.0,6.8,2038.65,8.7417,2622.5099999999998,583.8599999999997,28.63954087263629
BN,BROOKFIELD CORP,49.0,38.15,1869.52,39.4614,1933.6085999999998,64.08859999999981,3.428077795369925
DIGIA.HE,DIGIA,200.0,2.46,492.67,5.9994,1199.8799999999999,707.2099999999998,143.54639007855152
ENEL.MI,ENEL SPA,400.0,7.43,2970.97,8.6823,3472.92,501.9500000000003,16.895155454279255
FORTUM.HE,FORTUM OYJ,200.0,17.28,3456.25,19.1466,3829.3199999999997,373.0699999999997,10.794068716094024
IPN.PA,IPSEN ORD SHS,20.0,114.74,2294.84,120.582,2411.64,116.79999999999973,5.089679454776792
KOJAMO.HE,KOJAMO OYJ,50.0,13.03,651.67,10.4049,520.245,-131.42499999999995,-20.167416023447444
MANTA.HE,MANDATUM OYJ,159.0,2.96,470.41,6.1578,979.0902,508.68019999999996,108.13549882017813
MRK,MERCK AND CO - ORD SHS,20.0,80.5,1610.01,73.6758,1473.5159999999998,-136.49400000000014,-8.477835541394162
MSFT,MICROSOFT CORP - ORD SHS,46.0,244.72,11257.19,443.6883,20409.6618,9152.471800000001,81.30334301899498
NOKIA.HE,NOKIA OYJ,200.0,5.21,1041.8,5.8014,1160.28,118.48000000000002,11.372624304089078
NDA-FI.HE,NORDEA BANK ABP,8.0,5.66,45.29,14.661900000000001,117.29520000000001,72.0052,158.98697284168693
NVO,NOVO NORDISK B AS,35.0,43.22,1512.84,41.886900000000004,1466.0415,-46.798499999999876,-3.0934203220433014
OGN,ORGANON AND COMPANY,2.0,,,5.7816,11.5632,,
